marca,modelo,qtd_emplacados,ano_mes
HYUNDAI,HB20,86455,2021-12-01
FIAT,ARGO,84644,2021-12-01
JEEP,RENEGADE,73913,2021-12-01
GM,ONIX,73623,2021-12-01
JEEP,COMPASS,70906,2021-12-01
VW,GOL,66228,2021-12-01
FIAT,MOBI,65847,2021-12-01
HYUNDAI,CRETA,64759,2021-12-01
VW,T-CROSS,62307,2021-12-01
GM,ONIX-PLUS,54707,2021-12-01
RENAULT,KWID,52916,2021-12-01
GM,TRACKER,50757,2021-12-01
TOYOTA,COROLLA,41891,2021-12-01
HONDA,HR-V,38406,2021-12-01
VW,NIVUS,36664,2021-12-01
NISSAN,KICKS,36524,2021-12-01
TOYOTA,COROLLA-CROSS,34249,2021-12-01
VW,VOYAGE,28593,2021-12-01
FIAT,CRONOS,27887,2021-12-01
HYUNDAI,HB20S,25568,2021-12-01
RENAULT,DUSTER,22457,2021-12-01
TOYOTA,YARIS-HB,21126,2021-12-01
VW,VIRTUS,20563,2021-12-01
FIAT,UNO,20555,2021-12-01
CITROEN,C4-CACTUS,19552,2021-12-01
VW,POLO,19196,2021-12-01
HONDA,CIVIC,18949,2021-12-01
VW,FOX-CROSS-FOX,17946,2021-12-01
PEUGEOT,208,16342,2021-12-01
FIAT,SIENA,15355,2021-12-01
TOYOTA,HILUX-SW4,13641,2021-12-01
GM,SPIN,13005,2021-12-01
CAOA-CHERY,TIGGO-5X,12555,2021-12-01
RENAULT,SANDERO,12442,2021-12-01
TOYOTA,YARIS-SEDAN,12436,2021-12-01
NISSAN,VERSA,11107,2021-12-01
CAOA-CHERY,TIGGO-8,10462,2021-12-01
HONDA,WR-V,10329,2021-12-01
RENAULT,LOGAN,9478,2021-12-01
FORD,KA,8464,2021-12-01
RENAULT,CAPTUR,8304,2021-12-01
PEUGEOT,2008,7747,2021-12-01
VW,TAOS,7732,2021-12-01
HONDA,FIT,7138,2021-12-01
GM,CRUZE-SEDAN,7090,2021-12-01
FIAT,PULSE,6724,2021-12-01
HONDA,CITY,6138,2021-12-01
BMW,320I,5428,2021-12-01
FIAT,DOBLO,5355,2021-12-01
NISSAN,V-DRIVE,4963,2021-12-01
