marca,modelo,qtd_emplacados,ano_mes,tipo
GM,ONIX,13246,2023-02-01,automoveis
GM,ONIX-PLUS,11289,2023-02-01,automoveis
HYUNDAI,CRETA,9575,2023-02-01,automoveis
GM,TRACKER,9065,2023-02-01,automoveis
FIAT,ARGO,8817,2023-02-01,automoveis
VW,T-CROSS,8748,2023-02-01,automoveis
JEEP,COMPASS,8569,2023-02-01,automoveis
FIAT,MOBI,8282,2023-02-01,automoveis
HYUNDAI,HB20,7832,2023-02-01,automoveis
RENAULT,KWID,7134,2023-02-01,automoveis
NISSAN,KICKS,6479,2023-02-01,automoveis
JEEP,RENEGADE,6068,2023-02-01,automoveis
TOYOTA,COROLLA-CROSS,5939,2023-02-01,automoveis
VW,POLO,5877,2023-02-01,automoveis
VW,NIVUS,5874,2023-02-01,automoveis
FIAT,PULSE,5776,2023-02-01,automoveis
FIAT,FASTBACK,5100,2023-02-01,automoveis
TOYOTA,COROLLA,5085,2023-02-01,automoveis
VW,GOL,4559,2023-02-01,automoveis
FIAT,CRONOS,4134,2023-02-01,automoveis
TOYOTA,YARIS-HB,3648,2023-02-01,automoveis
RENAULT,DUSTER,3647,2023-02-01,automoveis
JEEP,COMMANDER,2866,2023-02-01,automoveis
CITROEN,C3,2801,2023-02-01,automoveis
HYUNDAI,HB20S,2782,2023-02-01,automoveis
GM,SPIN,2724,2023-02-01,automoveis
HONDA,CITY-HATCH,2674,2023-02-01,automoveis
HONDA,HR-V,2407,2023-02-01,automoveis
PEUGEOT,208,2364,2023-02-01,automoveis
VW,TAOS,2179,2023-02-01,automoveis
HONDA,CITY,2175,2023-02-01,automoveis
VW,VOYAGE,2061,2023-02-01,automoveis
TOYOTA,YARIS-SEDAN,1872,2023-02-01,automoveis
TOYOTA,HILUX-SW4,1852,2023-02-01,automoveis
CAOA-CHERY,TIGGO-8,1165,2023-02-01,automoveis
VW,VIRTUS,1104,2023-02-01,automoveis
RENAULT,SANDERO,880,2023-02-01,automoveis
VOLVO,XC60,775,2023-02-01,automoveis
CAOA-CHERY,TIGGO-7,747,2023-02-01,automoveis
NISSAN,VERSA,683,2023-02-01,automoveis
CAOA-CHERY,TIGGO-5X,586,2023-02-01,automoveis
GM,EQUINOX,585,2023-02-01,automoveis
BMW,320I,584,2023-02-01,automoveis
CITROEN,C4-CACTUS,542,2023-02-01,automoveis
MITSUBISHI,ECLIPSE-CROSS,449,2023-02-01,automoveis
RENAULT,LOGAN,340,2023-02-01,automoveis
VOLVO,XC40,336,2023-02-01,automoveis
MITSUBISHI,PAJERO,262,2023-02-01,automoveis
PEUGEOT,2008,249,2023-02-01,automoveis
AUDI,Q5,224,2023-02-01,automoveis
