marca,modelo,qtd_emplacados,ano_mes
FIAT,STRADA,67227,2018-12-01
FIAT,TORO,58477,2018-12-01
VW,SAVEIRO,45920,2018-12-01
TOYOTA,HILUX,39278,2018-12-01
GM,S10,31761,2018-12-01
FORD,RANGER,20552,2018-12-01
VW,AMAROK,18766,2018-12-01
FIAT,FIORINO,13547,2018-12-01
RENAULT,OROCH,13409,2018-12-01
GM,MONTANA,13106,2018-12-01
MITSUBISHI,L200,10766,2018-12-01
RENAULT,MASTER,7193,2018-12-01
NISSAN,FRONTIER,6325,2018-12-01
HYUNDAI,HR,4310,2018-12-01
FIAT,DUCATO,3029,2018-12-01
KIA,K2500,2481,2018-12-01
IVECO,DAILY-3514,2068,2018-12-01
M.BENZ,SPRINTER-313,1321,2018-12-01
VW,EXPRESS,1312,2018-12-01
PEUGEOT,PARTNER,1268,2018-12-01
RENAULT,KANGOO,1265,2018-12-01
CITROEN,JUMPY,1171,2018-12-01
PEUGEOT,EXPERT,902,2018-12-01
RAM,2500,678,2018-12-01
M.BENZ,SPRINTER,633,2018-12-01
IVECO,DAILY-30S13,334,2018-12-01
CITROEN,BERLINGO,293,2018-12-01
M.BENZ,SPRINTER-415,181,2018-12-01
IVECO,DAILY,163,2018-12-01
JAC,v260,160,2018-12-01
EFFA,K01,136,2018-12-01
FIAT,UNO,88,2018-12-01
IVECO,DAILY-5516,78,2018-12-01
LIFAN,FOISON,77,2018-12-01
M.BENZ,VITO,50,2018-12-01
EFFA,K02,37,2018-12-01
CITROEN,JUMPER,35,2018-12-01
EFFA,V21,32,2018-12-01
EFFA,V22,27,2018-12-01
TOYOTA,BANDEIRANTE,24,2018-12-01
FOTON,AUMARK-3.5-14DT,23,2018-12-01
M.BENZ,SPRINTER-311,22,2018-12-01
FORD,F150,21,2018-12-01
JAC,T8,19,2018-12-01
VW,KOMBI,17,2018-12-01
M.BENZ,SPRINTER-515,15,2018-12-01
RELY,RELY-PICK-UP,13,2018-12-01
PEUGEOT,BOXER,9,2018-12-01
M.BENZ,RIBEIRAUTO,8,2018-12-01
AGRALE,AGRALE-MARRUA,7,2018-12-01
