Label,Value,codigo_tabela_referencia,codigo_fipe,ano_modelo,codigo_tipo_combustivel
1995 Gasolina,1995-1,302,038001-6,1995,1
1994 Gasolina,1994-1,302,038001-6,1994,1
1993 Gasolina,1993-1,302,038001-6,1993,1
1992 Gasolina,1992-1,302,038001-6,1992,1
1991 Gasolina,1991-1,302,038001-6,1991,1
1998 Gasolina,1998-1,302,038002-4,1998,1
1997 Gasolina,1997-1,302,038002-4,1997,1
1996 Gasolina,1996-1,302,038002-4,1996,1
1995 Gasolina,1995-1,302,038002-4,1995,1
1994 Gasolina,1994-1,302,038002-4,1994,1
1993 Gasolina,1993-1,302,038002-4,1993,1
1992 Gasolina,1992-1,302,038002-4,1992,1
1991 Gasolina,1991-1,302,038002-4,1991,1
1992 Gasolina,1992-1,302,038003-2,1992,1
1991 Gasolina,1991-1,302,038003-2,1991,1
2007 Diesel,2007-3,302,060001-6,2007,3
2006 Diesel,2006-3,302,060001-6,2006,3
2005 Diesel,2005-3,302,060001-6,2005,3
2004 Diesel,2004-3,302,060001-6,2004,3
2011 Diesel,2011-3,302,060002-4,2011,3
2010 Diesel,2010-3,302,060002-4,2010,3
2009 Diesel,2009-3,302,060002-4,2009,3
2008 Diesel,2008-3,302,060002-4,2008,3
2015 Diesel,2015-3,302,060003-2,2015,3
2014 Diesel,2014-3,302,060003-2,2014,3
2013 Diesel,2013-3,302,060003-2,2013,3
2012 Diesel,2012-3,302,060003-2,2012,3
2011 Diesel,2011-3,302,060003-2,2011,3
2010 Diesel,2010-3,302,060003-2,2010,3
2009 Diesel,2009-3,302,060003-2,2009,3
2008 Diesel,2008-3,302,060003-2,2008,3
2015 Diesel,2015-3,302,060004-0,2015,3
2014 Diesel,2014-3,302,060004-0,2014,3
2013 Diesel,2013-3,302,060004-0,2013,3
2012 Diesel,2012-3,302,060004-0,2012,3
2011 Diesel,2011-3,302,060004-0,2011,3
2010 Diesel,2010-3,302,060004-0,2010,3
2009 Diesel,2009-3,302,060004-0,2009,3
2008 Diesel,2008-3,302,060004-0,2008,3
2007 Diesel,2007-3,302,060004-0,2007,3
2015 Diesel,2015-3,302,060005-9,2015,3
2014 Diesel,2014-3,302,060005-9,2014,3
2013 Diesel,2013-3,302,060005-9,2013,3
2012 Diesel,2012-3,302,060005-9,2012,3
2011 Diesel,2011-3,302,060005-9,2011,3
2010 Diesel,2010-3,302,060005-9,2010,3
2009 Diesel,2009-3,302,060005-9,2009,3
2008 Diesel,2008-3,302,060005-9,2008,3
2015 Diesel,2015-3,302,060006-7,2015,3
2014 Diesel,2014-3,302,060006-7,2014,3
2013 Diesel,2013-3,302,060006-7,2013,3
2012 Diesel,2012-3,302,060006-7,2012,3
2011 Diesel,2011-3,302,060006-7,2011,3
2010 Diesel,2010-3,302,060006-7,2010,3
2009 Diesel,2009-3,302,060006-7,2009,3
2008 Diesel,2008-3,302,060006-7,2008,3
2022 Diesel,2022-3,302,060007-5,2022,3
2021 Diesel,2021-3,302,060007-5,2021,3
2020 Diesel,2020-3,302,060007-5,2020,3
2019 Diesel,2019-3,302,060007-5,2019,3
2018 Diesel,2018-3,302,060007-5,2018,3
2017 Diesel,2017-3,302,060007-5,2017,3
2016 Diesel,2016-3,302,060007-5,2016,3
2015 Diesel,2015-3,302,060007-5,2015,3
2014 Diesel,2014-3,302,060007-5,2014,3
2013 Diesel,2013-3,302,060007-5,2013,3
2012 Diesel,2012-3,302,060007-5,2012,3
2011 Diesel,2011-3,302,060007-5,2011,3
2010 Diesel,2010-3,302,060007-5,2010,3
2009 Diesel,2009-3,302,060007-5,2009,3
2008 Diesel,2008-3,302,060007-5,2008,3
2007 Diesel,2007-3,302,060007-5,2007,3
2022 Diesel,2022-3,302,060008-3,2022,3
2021 Diesel,2021-3,302,060008-3,2021,3
2020 Diesel,2020-3,302,060008-3,2020,3
2019 Diesel,2019-3,302,060008-3,2019,3
2018 Diesel,2018-3,302,060008-3,2018,3
2017 Diesel,2017-3,302,060008-3,2017,3
2016 Diesel,2016-3,302,060008-3,2016,3
2015 Diesel,2015-3,302,060008-3,2015,3
2014 Diesel,2014-3,302,060008-3,2014,3
2013 Diesel,2013-3,302,060008-3,2013,3
2012 Diesel,2012-3,302,060008-3,2012,3
2011 Diesel,2011-3,302,060008-3,2011,3
2010 Diesel,2010-3,302,060008-3,2010,3
2009 Diesel,2009-3,302,060008-3,2009,3
2008 Diesel,2008-3,302,060008-3,2008,3
2022 Diesel,2022-3,302,060009-1,2022,3
2021 Diesel,2021-3,302,060009-1,2021,3
2022 Diesel,2022-3,302,060010-5,2022,3
2021 Diesel,2021-3,302,060010-5,2021,3
32000 Diesel,32000-3,302,060011-3,32000,3
2023 Diesel,2023-3,302,060011-3,2023,3
32000 Diesel,32000-3,302,060012-1,32000,3
2023 Diesel,2023-3,302,060012-1,2023,3
1998 Gasolina,1998-1,302,006001-1,1998,1
1997 Gasolina,1997-1,302,006001-1,1997,1
1996 Gasolina,1996-1,302,006001-1,1996,1
1995 Gasolina,1995-1,302,006001-1,1995,1
1999 Gasolina,1999-1,302,006002-0,1999,1
1998 Gasolina,1998-1,302,006002-0,1998,1
1997 Gasolina,1997-1,302,006002-0,1997,1
1996 Gasolina,1996-1,302,006002-0,1996,1
