Valor,Marca,Modelo,AnoModelo,Combustivel,CodigoFipe,MesReferencia,Autenticacao,TipoVeiculo,SiglaCombustivel,DataConsulta
"R$ 42.994,00",Acura,NSX 3.0,1995,Gasolina,038001-6,outubro de 2023 ,vlff45k7fq,1,G,"segunda-feira, 16 de outubro de 2023 16:19"
"R$ 41.483,00",Acura,NSX 3.0,1994,Gasolina,038001-6,outubro de 2023 ,t0p7wf13js,1,G,"segunda-feira, 16 de outubro de 2023 16:19"
"R$ 40.105,00",Acura,NSX 3.0,1993,Gasolina,038001-6,outubro de 2023 ,thkc5v1nm9,1,G,"segunda-feira, 16 de outubro de 2023 16:19"
"R$ 38.326,00",Acura,NSX 3.0,1992,Gasolina,038001-6,outubro de 2023 ,stpr578g54,1,G,"segunda-feira, 16 de outubro de 2023 16:19"
"R$ 35.033,00",Acura,NSX 3.0,1991,Gasolina,038001-6,outubro de 2023 ,rk2v31lm4s,1,G,"segunda-feira, 16 de outubro de 2023 16:19"
"R$ 26.641,00",Acura,Legend 3.2/3.5,1998,Gasolina,038002-4,outubro de 2023 ,ndpmr01cyr,1,G,"segunda-feira, 16 de outubro de 2023 16:19"
"R$ 23.691,00",Acura,Legend 3.2/3.5,1997,Gasolina,038002-4,outubro de 2023 ,l83dgrx36q,1,G,"segunda-feira, 16 de outubro de 2023 16:19"
"R$ 22.276,00",Acura,Legend 3.2/3.5,1996,Gasolina,038002-4,outubro de 2023 ,lrh2v9bbk8,1,G,"segunda-feira, 16 de outubro de 2023 16:19"
"R$ 20.022,00",Acura,Legend 3.2/3.5,1995,Gasolina,038002-4,outubro de 2023 ,kw2tswlq2h,1,G,"segunda-feira, 16 de outubro de 2023 16:19"
"R$ 19.166,00",Acura,Legend 3.2/3.5,1994,Gasolina,038002-4,outubro de 2023 ,kk1prycjl6,1,G,"segunda-feira, 16 de outubro de 2023 16:19"
"R$ 16.888,00",Acura,Legend 3.2/3.5,1993,Gasolina,038002-4,outubro de 2023 ,jqbp8gnlsk,1,G,"segunda-feira, 16 de outubro de 2023 16:19"
"R$ 15.532,00",Acura,Legend 3.2/3.5,1992,Gasolina,038002-4,outubro de 2023 ,h6fvgccspm,1,G,"segunda-feira, 16 de outubro de 2023 16:19"
"R$ 14.920,00",Acura,Legend 3.2/3.5,1991,Gasolina,038002-4,outubro de 2023 ,hy8dp7d9gp,1,G,"segunda-feira, 16 de outubro de 2023 16:19"
"R$ 11.648,00",Acura,Integra GS 1.8,1992,Gasolina,038003-2,outubro de 2023 ,gqw3748pk3,1,G,"segunda-feira, 16 de outubro de 2023 16:19"
"R$ 10.619,00",Acura,Integra GS 1.8,1991,Gasolina,038003-2,outubro de 2023 ,gbt3x9kxkx,1,G,"segunda-feira, 16 de outubro de 2023 16:19"
"R$ 51.239,00",Agrale,MARRUÁ 2.8 12V 132cv TDI Diesel,2007,Diesel,060001-6,outubro de 2023 ,yp275xw0xz,1,D,"segunda-feira, 16 de outubro de 2023 16:19"
"R$ 49.989,00",Agrale,MARRUÁ 2.8 12V 132cv TDI Diesel,2006,Diesel,060001-6,outubro de 2023 ,x7fxq0r0q4,1,D,"segunda-feira, 16 de outubro de 2023 16:19"
"R$ 43.992,00",Agrale,MARRUÁ 2.8 12V 132cv TDI Diesel,2005,Diesel,060001-6,outubro de 2023 ,vy355yjbtn,1,D,"segunda-feira, 16 de outubro de 2023 16:19"
"R$ 38.556,00",Agrale,MARRUÁ 2.8 12V 132cv TDI Diesel,2004,Diesel,060001-6,outubro de 2023 ,sxdcqzwyln,1,D,"segunda-feira, 16 de outubro de 2023 16:19"
"R$ 77.042,00",Agrale,MARRUÁ AM 50 2.8 140cv TDI Diesel,2011,Diesel,060002-4,outubro de 2023 ,8gmv0fjrfwgk,1,D,"segunda-feira, 16 de outubro de 2023 16:19"
"R$ 63.583,00",Agrale,MARRUÁ AM 50 2.8 140cv TDI Diesel,2010,Diesel,060002-4,outubro de 2023 ,3ctxx26732cb,1,D,"segunda-feira, 16 de outubro de 2023 16:19"
"R$ 58.177,00",Agrale,MARRUÁ AM 50 2.8 140cv TDI Diesel,2009,Diesel,060002-4,outubro de 2023 ,1bf0hy98w39c,1,D,"segunda-feira, 16 de outubro de 2023 16:19"
"R$ 54.086,00",Agrale,MARRUÁ AM 50 2.8 140cv TDI Diesel,2008,Diesel,060002-4,outubro de 2023 ,zsg1xwmcv854,1,D,"segunda-feira, 16 de outubro de 2023 16:19"
"R$ 113.832,00",Agrale,MARRUÁ AM 100 2.8  CS TDI Diesel,2015,Diesel,060003-2,outubro de 2023 ,gmssj130g1cxq,1,D,"segunda-feira, 16 de outubro de 2023 16:19"
"R$ 107.451,00",Agrale,MARRUÁ AM 100 2.8  CS TDI Diesel,2014,Diesel,060003-2,outubro de 2023 ,gc9vqb39smcth,1,D,"segunda-feira, 16 de outubro de 2023 16:19"
"R$ 98.878,00",Agrale,MARRUÁ AM 100 2.8  CS TDI Diesel,2013,Diesel,060003-2,outubro de 2023 ,cjqnlfbf2yjn0,1,D,"segunda-feira, 16 de outubro de 2023 16:19"
"R$ 93.959,00",Agrale,MARRUÁ AM 100 2.8  CS TDI Diesel,2012,Diesel,060003-2,outubro de 2023 ,cgvzn9jzpx4ks,1,D,"segunda-feira, 16 de outubro de 2023 16:19"
"R$ 77.884,00",Agrale,MARRUÁ AM 100 2.8  CS TDI Diesel,2011,Diesel,060003-2,outubro de 2023 ,8shw870xxdgk,1,D,"segunda-feira, 16 de outubro de 2023 16:19"
"R$ 62.828,00",Agrale,MARRUÁ AM 100 2.8  CS TDI Diesel,2010,Diesel,060003-2,outubro de 2023 ,22zhxwjf40cb,1,D,"segunda-feira, 16 de outubro de 2023 16:19"
"R$ 51.044,00",Agrale,MARRUÁ AM 100 2.8  CS TDI Diesel,2009,Diesel,060003-2,outubro de 2023 ,ymtc0j20tb9c,1,D,"segunda-feira, 16 de outubro de 2023 16:19"
"R$ 46.795,00",Agrale,MARRUÁ AM 100 2.8  CS TDI Diesel,2008,Diesel,060003-2,outubro de 2023 ,w0zz4yr75054,1,D,"segunda-feira, 16 de outubro de 2023 16:19"
"R$ 124.173,00",Agrale,MARRUÁ AM 100 2.8 CD TDI Diesel,2015,Diesel,060004-0,outubro de 2023 ,g0xm997593cxq,1,D,"segunda-feira, 16 de outubro de 2023 16:19"
"R$ 118.572,00",Agrale,MARRUÁ AM 100 2.8 CD TDI Diesel,2014,Diesel,060004-0,outubro de 2023 ,gtb2ckyk48cth,1,D,"segunda-feira, 16 de outubro de 2023 16:19"
"R$ 110.994,00",Agrale,MARRUÁ AM 100 2.8 CD TDI Diesel,2013,Diesel,060004-0,outubro de 2023 ,gjgmtbhr11cp8,1,D,"segunda-feira, 16 de outubro de 2023 16:19"
"R$ 103.464,00",Agrale,MARRUÁ AM 100 2.8 CD TDI Diesel,2012,Diesel,060004-0,outubro de 2023 ,f7mybp1ttlcl1,1,D,"segunda-feira, 16 de outubro de 2023 16:19"
"R$ 87.000,00",Agrale,MARRUÁ AM 100 2.8 CD TDI Diesel,2011,Diesel,060004-0,outubro de 2023 ,cc7c9cbbztggk,1,D,"segunda-feira, 16 de outubro de 2023 16:19"
"R$ 71.113,00",Agrale,MARRUÁ AM 100 2.8 CD TDI Diesel,2010,Diesel,060004-0,outubro de 2023 ,563vncqg81cb,1,D,"segunda-feira, 16 de outubro de 2023 16:19"
"R$ 59.737,00",Agrale,MARRUÁ AM 100 2.8 CD TDI Diesel,2009,Diesel,060004-0,outubro de 2023 ,1xq0w3xqb59c,1,D,"segunda-feira, 16 de outubro de 2023 16:19"
"R$ 54.778,00",Agrale,MARRUÁ AM 100 2.8 CD TDI Diesel,2008,Diesel,060004-0,outubro de 2023 ,z1lk2khftb54,1,D,"segunda-feira, 16 de outubro de 2023 16:19"
"R$ 52.206,00",Agrale,MARRUÁ AM 100 2.8 CD TDI Diesel,2007,Diesel,060004-0,outubro de 2023 ,y2fqxj9fph2x,1,D,"segunda-feira, 16 de outubro de 2023 16:19"
"R$ 115.344,00",Agrale,MARRUÁ AM 150 2.8  CS TDI Diesel,2015,Diesel,060005-9,outubro de 2023 ,gpkq6cg9wwcxq,1,D,"segunda-feira, 16 de outubro de 2023 16:19"
"R$ 107.947,00",Agrale,MARRUÁ AM 150 2.8  CS TDI Diesel,2014,Diesel,060005-9,outubro de 2023 ,gdwwlb2x72cth,1,D,"segunda-feira, 16 de outubro de 2023 16:19"
"R$ 100.458,00",Agrale,MARRUÁ AM 150 2.8  CS TDI Diesel,2013,Diesel,060005-9,outubro de 2023 ,f33n9tyksscp8,1,D,"segunda-feira, 16 de outubro de 2023 16:19"
"R$ 94.633,00",Agrale,MARRUÁ AM 150 2.8  CS TDI Diesel,2012,Diesel,060005-9,outubro de 2023 ,cg3wnmxmsgcks,1,D,"segunda-feira, 16 de outubro de 2023 16:19"
"R$ 80.390,00",Agrale,MARRUÁ AM 150 2.8  CS TDI Diesel,2011,Diesel,060005-9,outubro de 2023 ,9qwrst02q3gk,1,D,"segunda-feira, 16 de outubro de 2023 16:19"
"R$ 64.580,00",Agrale,MARRUÁ AM 150 2.8  CS TDI Diesel,2010,Diesel,060005-9,outubro de 2023 ,3rh9pjytg3cb,1,D,"segunda-feira, 16 de outubro de 2023 16:19"
"R$ 55.078,00",Agrale,MARRUÁ AM 150 2.8  CS TDI Diesel,2009,Diesel,060005-9,outubro de 2023 ,z43mbvqpxh9c,1,D,"segunda-feira, 16 de outubro de 2023 16:19"
"R$ 50.122,00",Agrale,MARRUÁ AM 150 2.8  CS TDI Diesel,2008,Diesel,060005-9,outubro de 2023 ,x8z795ny4454,1,D,"segunda-feira, 16 de outubro de 2023 16:19"
"R$ 129.549,00",Agrale,MARRUÁ AM 150 2.8 CD TDI Diesel,2015,Diesel,060006-7,outubro de 2023 ,g661ryr778cxq,1,D,"segunda-feira, 16 de outubro de 2023 16:19"
"R$ 122.590,00",Agrale,MARRUÁ AM 150 2.8 CD TDI Diesel,2014,Diesel,060006-7,outubro de 2023 ,gy13n06srjcth,1,D,"segunda-feira, 16 de outubro de 2023 16:19"
"R$ 111.695,00",Agrale,MARRUÁ AM 150 2.8 CD TDI Diesel,2013,Diesel,060006-7,outubro de 2023 ,gj83nvz8d9cp8,1,D,"segunda-feira, 16 de outubro de 2023 16:19"
"R$ 105.643,00",Agrale,MARRUÁ AM 150 2.8 CD TDI Diesel,2012,Diesel,060006-7,outubro de 2023 ,f954jx9bppcl1,1,D,"segunda-feira, 16 de outubro de 2023 16:19"
