code,car_models
038001-6,NSX 3.0
038002-4,Legend 3.2/3.5
038003-2,Integra GS 1.8
060001-6,MARRUÁ 2.8 12V 132cv TDI Diesel
060002-4,MARRUÁ AM 50 2.8 140cv TDI Diesel
060003-2,MARRUÁ AM 100 2.8 CS TDI Diesel
060004-0,MARRUÁ AM 100 2.8 CD TDI Diesel
060005-9,MARRUÁ AM 150 2.8 CS TDI Diesel
060006-7,MARRUÁ AM 150 2.8 CD TDI Diesel
060007-5,MARRUÁ AM 200 2.8 CS TDI Diesel
060008-3,MARRUÁ AM 200 2.8 CD TDI Diesel
060009-1,MARRUÁ AM 200 Microbus 2.8 TDI Diesel
060010-5,MARRUÁ AM 200 Escolar 2.8 TDI Diesel
060011-3,MARRUÁ AM 200 Escolar 2.8 TDI Diesel E6
060012-1,MARRUÁ AM 250 3.8 CD TDI Diesel (E6)
006001-1,145 Elegant 2.0 16V
006002-0,145 Quadrifoglio 2.0
006003-8,155
006004-6,155 Super
006005-4,164 3.0 V6
006006-2,164 Super V6 24V
006007-0,Spider 2.0/3.0
006008-9,145 QV
006009-7,145 Elegant 1.7/1.8 16V
006010-0,156 TS/Sport/Elegant 2.0 16V
006011-9,166 3.0 V6 24V
006013-5,2300 TI/TI-4
006014-3,156 Sport Wagon 2.0 16V
006015-1,156 2.5 V6 24V 190cv 4p Aut.
006016-0,156 Sport Wagon 2.5 V6 24V 4p Aut.
006017-8,147 2.0 16V 148cv 4p Semi-Aut.
037001-0,Hummer Hard-Top 6.5 4x4 Diesel TB
037002-9,Hummer Open-Top 6.5 4x4 Diesel TB
037003-7,Hummer Wagon 6.5 4x4 Diesel TB
007001-7,Hi-Topic SLX/SDX/DLX Full Diesel
007002-5,Hi-Topic STD Diesel
007003-3,Towner Coach Full
007004-1,Towner Glass Van
007005-0,Towner Panel Van
007006-8,Towner SDX / DLX/ STD
007007-6,Towner Truck
007008-4,Towner Pick-Up
007009-2,Towner Furgão
007011-4,Towner Multiuso 5p
007012-2,Towner Luxo
007013-0,Towner Super Luxo
007014-9,Topic Luxo Diesel
007015-7,Topic Super Luxo Diesel
007016-5,Topic Carga 2.7 Diesel (furgão)
007017-3,Hi-Topic Van 2.7 Diesel (furgão)
007018-1,AM-825 Luxo 4.0 Diesel
007019-0,AM-825 Super Luxo 4.0 Diesel
007020-3,Jipe Rocsta GT 4x4 2.2 Diesel
085001-2,Vantage S Coupe 4.7 V8 430cv
085002-0,Vantage Coupe 4.7 V8 425cv
085003-9,Vantage Roadster 4.7 V8 420cv
085004-7,Vantage 6.0 V12 510cv
085005-5,Virage Coupe 6.0 V12 490cv
085006-3,DB9 Volante 6.0 V12 470cv
085007-1,Rapide 6.0 V12 477cv
085008-0,Vantage S 6.0 V12 565cv
085009-8,Rapide S 6.0 V12 550cv
085010-1,Vanquish V12 6.0 565cv
085011-0,DB9 Coupe 6.0 V12 510cv
085012-8,Vantage Cupê 4.0 V8 510cv
085013-6,Vantage Cupê F1 Edition 4.0 V8 535cv
085014-4,DBS Coupe 5.2 V12 725cv
085015-2,DBX 4.0 V8 550cv
085016-0,DBX707 4.0 V8 707cv
085017-9,Vantage Roadster F1 Edition 4.0 V8 535cv
008001-2,80 2.0
008002-0,80 2.6/2.8 Avant
008003-9,80 2.8 Cabriolet
008004-7,80 S2 Avant
008005-5,A3 1.8 3p
008006-3,A3 1.8 Turbo 3p Mec.
008007-1,A4 1.8 Mec.
008008-0,A4 1.8 Tip./ Multitronic Turbo
008009-8,A4 1.8 Avant Mec.
008010-1,A4 1.8 Avant Turbo Mec.
008011-0,A4 2.8
008012-8,A6 2.8
008013-6,A6 2.8 Avant
008014-4,A8 4.2 V8 32V Tiptronic
008015-2,Avant RS2
008016-0,S6 Plus 4.2 Avant V8 32V
008018-7,A4 2.4 30V Mec.
008019-5,A4 2.4 30V Tip./Multitronic
008020-9,A4 2.4 30V Avant Mec.
008021-7,A4 2.4 30V Avant Tip./Multitronic
008022-5,A4 2.8 30V Mec.
008023-3,A4 2.8 30V Tiptronic/ Aut.
008024-1,A6 2.4 30V Mec
008025-0,A6 2.4 30V Tip./Multitronic
008026-8,A6 2.8 30V Mec.
008027-6,A6 2.8 30V Tiptronic
008028-4,S8 4.2 Mec
008029-2,S8 4.2 Tiptronic
008030-6,100 2.8 V6
008031-4,100 S-4 2.2 Avant Turbo
008032-2,A3 1.6 3p
008034-9,TT 1.8 TB 180cv
008035-7,TT 1.8 TB Quattro 225cv
008036-5,A4 2.8 Avant V6 12V
008037-3,A4 2.8 Avant V6 30V Mec.
008038-1,S6 2.2 20V TB
008039-0,S6 Plus 4.2 V8 32V
008040-3,A3 1.6 5p
008041-1,A3 1.8 5p Mec.
008042-0,A3 1.8 5p Aut.
008043-8,A3 1.8 3p Aut.
008044-6,A3 1.8 Turbo 5p Mec.
008045-4,A3 1.8 Turbo 5p Aut.
008046-2,A3 1.8 Turbo 3p Aut.
008047-0,A4 1.8 Aut.
008048-9,A4 1.8 Avant Aut.
008049-7,A4 1.8 Avant Turbo Tip./ Multitronic
008051-9,A6 2.4 Avant 30V Mec.
008052-7,A6 2.4 Avant 30V Tip./ Multitronic
008053-5,A6 2.8 Avant 30V Mec.
008054-3,A6 2.8 Avant 30V Tiptronic
008055-1,A4 2.8 Avant V6 30V Tiptronic
008056-0,A3 1.6 3p Aut.
008057-8,A3 1.6 5p Aut.
008058-6,A6 2.7 30V Mec.
008059-4,A6 2.7 30V Avant Tiptronic
008060-8,A6 4.2 Quattro Tiptronic
008061-6,A6 4.2 Avant Quattro Tiptronic
008062-4,A8 4.2 Quattro Tiptronic
008063-2,S4 2.7 Turbo Quattro Mec.
008064-0,S8 4.2 Quattro Mec.
008065-9,S8 4.2 Quattro Tiptronic
008066-7,S3 1.8 225cv Turbo Quattro
008067-5,A6 2.7 Quattro Tiptronic
008068-3,A6 2.7 Avant Quattro Tiptronic
008069-1,S4 2.7 Avant Turbo Quattro
008070-5,A4 1.8 Turbo
008071-3,A3 1.8 Turbo 180cv 5p Aut./ Tip.
008072-1,A3 1.8 Turbo 180cv 5p Mec.
008073-0,A3 1.8 Turbo 180cv 3p Aut./ Tip.
008074-8,A3 1.8 Turbo 180cv 3p Mec.
008075-6,TT Roadster 1.8 TB Quattro 225cv (Conv.)
008076-4,100 2.8 V6 Avant
008077-2,80 2.0 Avant
008078-0,S6 2.2 Avant 20V TB
008079-9,Allroad 2.7 30V Quattro Turbo Tiptronic
008080-2,80 2.6/ 2.8
008081-0,A4 2.4 Avant V6 30V Quattro Mec.
008082-9,A4 2.4 Avant V6 30V Quattro Tiptronic
008083-7,A4 2.4 V6 30V Quattro Mec.
008084-5,A4 2.4 V6 30V Quattro Tiptronic
008085-3,A4 2.8 V6 30V Quattro Tiptronic
008086-1,A4 2.8 V6 30V Quattro Mec.
008087-0,A4 2.8 Avant V6 30V Quattro Mec.
008088-8,A4 2.8 Avant V6 30V Quattro Tiptronic
008089-6,A6 2.4 V6 30V Quattro Mec
008090-0,A6 2.4 V6 30V Quattro Tiptronic
008091-8,A6 2.4 Avant V6 30V Quattro Mec.
008092-6,A6 2.4 Avant V6 30V Quattro Tiptronic
008093-4,A6 2.8 V6 30V Quattro Mec.
008094-2,A6 2.8 V6 30V Quattro Tiptronic
008095-0,A6 2.8 Avant V6 30V Quattro Mec.
008096-9,A6 2.8 Avant V6 30V Quattro Tiptronic
008097-7,S6 4.2 Avant V8 40V Quattro Tiptronic
008098-5,S6 4.2 V8 40V Quattro Tiptronic
008099-3,S6 4.2 V8 40V Quattro Mec
008100-0,RS4 2.7 Avant V6 30V BI-TB Quattro 380cv
008101-9,A4 2.0 20V 130cv Multitronic 4p
008102-7,A4 3.0 30V 218cv Multitronic 4p
008103-5,A6 3.0 V6 30V 218cv Multitronic 4p
008105-1,A6 3.0 Avant V6 30V 218cv Multitronic 5p
008107-8,A4 3.0 Avant 30V 218cv Multitronic 5p
008108-6,A4 3.0 Cabriolet 30V 218cv Multitronic
008109-4,A4 3.0 30V 218cv Quattro Tiptron./Aut 4p
008110-8,A4 3.0 Avant 30V 218cv Quattro Tiptronic
008111-6,RS6 4.2 Avant BI-TB Quattro Tiptron. 5p
008112-4,RS6 4.2 450cv BI-TB Quattro Tiptronic 4p
008113-2,S4 4.2 V8 40V 344cv Quattro Tiptronic
008114-0,S4 4.2 Avant V8 40V 344cv Quattro Tipt.
008115-9,A8 6.0 W12 48V 450cv Quattro Tiptronic
008116-7,A3 1.6 8V 102cv 3p
008117-5,A3 Sportback 1.6 8V 102cv 5p
008118-3,A3 Sportback 2.0 16V TFSI Mec.
008119-1,A3 Sportback 2.0 16V TFSI S-tronic
008120-5,A4 2.0 16V TFSI 200/ 214cv Multitronic
008121-3,A4 2.0 Avant TFSI 200/214cv Multitron.
008122-1,Q7 4.2 V8 40V 350cv Quattro Tiptronic
008123-0,A4 3.2 FSI 24V 255cv Multitronic
008124-8,A4 3.2 FSI Avant 24V 255cv Multitronic
008125-6,A4 3.2 FSI Cabriolet 24V 255cv Multitron
008126-4,TT 2.0 16v TFSI S-Tronic
008127-2,TT Roadster 2.0 16v TFSI S-Tronic
008128-0,A6 3.2 FSI 24V 255cv Multitronic
008129-9,Q7 3.6 V6 284cv Quattro Tiptronic
008130-2,A4 3.2 FSI 24V 269cv Quattro Tiptronic
008131-0,A5 3.2 FSI 24V 269cv Multitronic
008132-9,A4 2.0 16V TFSI 183/180cv Multitronic
008133-7,A4 2.0 Avant TFSI 183/180cv Multitroni
008134-5,Q5 2.0 16V TFSI Quattro S Tronic
008135-3,A4 3.2 FSI Avant 24V Quattro S Tronic
008136-1,A6 3.0 TB FSI V6 Quattro Tiptronic
008137-0,Q5 3.2 FSI V6 Quattro S Tronic
008138-8,A3 Sport 2.0 16V TFSI S- tronic
008139-6,A5 3.2 FSI V6 24V 269cv Quattro Tiptroni
008140-0,S3 Sportback 2.0 TFSI Quattro S Tronic
008141-8,TTS 2.0 TFSI QUATTRO S Tronic
008142-6,TTS Roadster 2.0 TB FSI Quattro S Tronic
