marca,modelo,qtd_emplacados,ano_mes,tipo
FORD,KA,104331,2019-12-01,automoveis
HYUNDAI,HB20,101590,2019-12-01,automoveis
RENAULT,KWID,85117,2019-12-01,automoveis
VW,GOL,81285,2019-12-01,automoveis
FIAT,ARGO,79000,2019-12-01,automoveis
GM,PRISMA,73721,2019-12-01,automoveis
VW,POLO,72057,2019-12-01,automoveis
JEEP,RENEGADE,68726,2019-12-01,automoveis
JEEP,COMPASS,60361,2019-12-01,automoveis
HYUNDAI,CRETA,57460,2019-12-01,automoveis
TOYOTA,COROLLA,56727,2019-12-01,automoveis
NISSAN,KICKS,56060,2019-12-01,automoveis
FIAT,MOBI,53444,2019-12-01,automoveis
FORD,KA-SEDAN,51260,2019-12-01,automoveis
RENAULT,SANDERO,50303,2019-12-01,automoveis
HONDA,HR-V,49488,2019-12-01,automoveis
VW,VIRTUS,46876,2019-12-01,automoveis
VW,FOX-CROSS-FOX,38487,2019-12-01,automoveis
TOYOTA,YARIS-HB,37686,2019-12-01,automoveis
VW,T-CROSS,37081,2019-12-01,automoveis
HYUNDAI,HB20S,34893,2019-12-01,automoveis
FORD,ECOSPORT,34205,2019-12-01,automoveis
VW,VOYAGE,32055,2019-12-01,automoveis
TOYOTA,YARIS-SEDAN,29759,2019-12-01,automoveis
RENAULT,CAPTUR,28660,2019-12-01,automoveis
GM,SPIN,28361,2019-12-01,automoveis
HONDA,CIVIC,27318,2019-12-01,automoveis
RENAULT,LOGAN,27003,2019-12-01,automoveis
GM,ONIX-PLUS,26852,2019-12-01,automoveis
RENAULT,DUSTER,26090,2019-12-01,automoveis
HONDA,FIT,24457,2019-12-01,automoveis
FIAT,CRONOS,24080,2019-12-01,automoveis
NISSAN,VERSA,21779,2019-12-01,automoveis
FIAT,UNO,19928,2019-12-01,automoveis
TOYOTA,ETIOS-HB,18963,2019-12-01,automoveis
GM,CRUZE-SEDAN,17829,2019-12-01,automoveis
CITROEN,C4-CACTUS,16438,2019-12-01,automoveis
GM,TRACKER,16333,2019-12-01,automoveis
FIAT,SIENA,16188,2019-12-01,automoveis
HONDA,CITY,14578,2019-12-01,automoveis
TOYOTA,HILUX-SW4,13523,2019-12-01,automoveis
VW,UP,13460,2019-12-01,automoveis
TOYOTA,ETIOS-SEDAN,13305,2019-12-01,automoveis
GM,COBALT,13103,2019-12-01,automoveis
VW,TIGUAN,13074,2019-12-01,automoveis
HONDA,WR-V,12160,2019-12-01,automoveis
VW,JETTA,11248,2019-12-01,automoveis
PEUGEOT,2008,8693,2019-12-01,automoveis
CHERY,TIGGO-5X,7971,2019-12-01,automoveis
