marca,modelo,qtd_emplacados,ano_mes,tipo
FIAT,STRADA,54870,2017-12-01,comerciais_leves
FIAT,TORO,50723,2017-12-01,comerciais_leves
VW,SAVEIRO,42414,2017-12-01,comerciais_leves
TOYOTA,HILUX,34368,2017-12-01,comerciais_leves
GM,S10,30438,2017-12-01,comerciais_leves
FORD,RANGER,17830,2017-12-01,comerciais_leves
GM,MONTANA,14872,2017-12-01,comerciais_leves
VW,AMAROK,11964,2017-12-01,comerciais_leves
RENAULT,OROCH,11047,2017-12-01,comerciais_leves
FIAT,FIORINO,10947,2017-12-01,comerciais_leves
MITSUBISHI,L200,9946,2017-12-01,comerciais_leves
RENAULT,MASTER,6181,2017-12-01,comerciais_leves
NISSAN,FRONTIER,4057,2017-12-01,comerciais_leves
HYUNDAI,HR,4041,2017-12-01,comerciais_leves
IVECO,DAILY-3514,2008,2017-12-01,comerciais_leves
KIA,K2500,1650,2017-12-01,comerciais_leves
FIAT,DUCATO,1544,2017-12-01,comerciais_leves
RENAULT,KANGOO,1254,2017-12-01,comerciais_leves
PEUGEOT,PARTNER,939,2017-12-01,comerciais_leves
M.BENZ,SPRINTER-313,620,2017-12-01,comerciais_leves
FIAT,DOBLO,606,2017-12-01,comerciais_leves
M.BENZ,VITO,438,2017-12-01,comerciais_leves
M.BENZ,SPRINTER,424,2017-12-01,comerciais_leves
CITROEN,JUMPER,415,2017-12-01,comerciais_leves
TOYOTA,HILUX-SW4,391,2017-12-01,comerciais_leves
LIFAN,FOISON,380,2017-12-01,comerciais_leves
RAM,2500,332,2017-12-01,comerciais_leves
M.BENZ,SPRINTER-311,283,2017-12-01,comerciais_leves
FIAT,UNO,166,2017-12-01,comerciais_leves
PEUGEOT,EXPERT,154,2017-12-01,comerciais_leves
CITROEN,JUMPY,121,2017-12-01,comerciais_leves
EFFA,K01,107,2017-12-01,comerciais_leves
PEUGEOT,BOXER,87,2017-12-01,comerciais_leves
IVECO,DAILY,82,2017-12-01,comerciais_leves
M.BENZ,SPRINTER-415,67,2017-12-01,comerciais_leves
FOTON,AUMARK-1039,53,2017-12-01,comerciais_leves
RENAULT,RENAULT,46,2017-12-01,comerciais_leves
EFFA,V21,26,2017-12-01,comerciais_leves
JAC,T8,25,2017-12-01,comerciais_leves
VICR,SAVEIRO,24,2017-12-01,comerciais_leves
RELY,RELY-PICK-UP,24,2017-12-01,comerciais_leves
EFFA,K02,23,2017-12-01,comerciais_leves
FOTON,AUMARK-3.5-12DT,23,2017-12-01,comerciais_leves
M.BENZ,SPRINTER-515,22,2017-12-01,comerciais_leves
HAFEI,RUIYI,22,2017-12-01,comerciais_leves
TOYOTA,BANDEIRANTE,21,2017-12-01,comerciais_leves
SHINERAY,P-TRUCKS,18,2017-12-01,comerciais_leves
HAFEI,TOWNER,18,2017-12-01,comerciais_leves
FOTON,AUMARK-3.5-14DT,18,2017-12-01,comerciais_leves
EFFA,V22,17,2017-12-01,comerciais_leves
